20
15

-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	118	-1	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	-1	-1	-1	-1	0	1	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	-1	20	20	-1	33	34	15	13	14	18	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	-1	20	20	-1	-1	-1	33	34	35	-1	-1	-1	-1	0	2	-1	-1	-1	-1
14	120	20	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	35	-1	-1	-1	-1
4	1	1	107	108	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1
71	13	13	71	4	107	108	118	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	13	13	13	13	55	4	2	-1	-1	-1	-1	-1	133	134	134	135	-1	-1	-1
13	13	13	13	13	13	55	14	-1	-1	-1	-1	119	0	1	1	2	-1	-1	-1
16	34	15	13	13	13	13	14	-1	-1	-1	-1	0	3	56	13	14	-1	-1	-1
14	-1	12	13	13	71	13	4	2	-1	121	0	3	71	13	13	14	-1	-1	-1
4	1	3	13	13	13	13	71	4	1	1	3	13	13	13	71	14	-1	-1	-1
